Date, Open, High, Low, Close, Volume
05/12/22, 44.90, 45.00, 44.50, 44.60, 369200
05/11/22, 44.95, 45.00, 44.50, 44.95, 958300
05/10/22, 45.05, 46.00, 45.00, 45.00, 3768300
05/09/22, 46.50, 47.00, 45.90, 46.05, 839900
05/06/22, 48.00, 48.50, 46.00, 47.15, 45500
05/05/22, 48.50, 48.50, 47.00, 47.50, 66700
05/04/22, 48.50, 48.50, 45.05, 47.95, 2170800
04/28/22, 47.50, 48.00, 47.00, 47.90, 100200
04/27/22, 49.00, 49.00, 47.00, 47.80, 104500
04/26/22, 49.90, 49.90, 48.50, 49.45, 3646100
04/25/22, 50.00, 50.00, 49.50, 49.95, 2012200
04/22/22, 50.00, 50.00, 49.50, 49.75, 2278700
04/21/22, 49.75, 50.00, 49.50, 50.00, 1983700
04/20/22, 49.70, 49.90, 49.40, 49.65, 1369400
04/19/22, 50.00, 50.00, 49.30, 49.65, 719300
04/14/22, 50.50, 50.50, 49.85, 50.00, 427600
04/13/22, 49.85, 51.00, 49.60, 49.75, 516900
04/12/22, 50.00, 51.00, 49.50, 49.85, 729900
04/11/22, 50.00, 50.00, 49.30, 49.75, 436600
04/08/22, 49.70, 49.75, 49.20, 49.30, 1141700
04/07/22, 49.20, 49.80, 49.00, 49.30, 845200
04/06/22, 50.00, 50.00, 49.20, 49.80, 1149300
04/05/22, 49.20, 50.00, 49.20, 49.50, 1403800
04/04/22, 51.00, 51.00, 49.00, 49.15, 69100
04/01/22, 51.00, 51.00, 49.00, 49.15, 133600
03/31/22, 50.25, 51.00, 50.00, 50.50, 258200
03/30/22, 51.00, 51.00, 49.25, 50.75, 74500
03/29/22, 51.50, 52.00, 51.00, 51.00, 111000
03/28/22, 51.75, 51.75, 50.00, 51.00, 1196900
03/25/22, 51.50, 52.00, 51.25, 51.50, 1297400
03/24/22, 51.50, 51.75, 51.00, 51.50, 171200
03/23/22, 51.50, 52.00, 50.00, 51.00, 1930700
03/22/22, 51.75, 52.00, 51.25, 51.75, 1713200
03/21/22, 51.75, 52.25, 49.75, 51.25, 250500
03/18/22, 51.75, 52.00, 51.25, 52.00, 282500
03/17/22, 52.00, 52.00, 51.50, 51.75, 140900
03/16/22, 51.00, 53.50, 51.00, 52.75, 139100
03/15/22, 51.50, 52.00, 50.75, 51.25, 620400
03/14/22, 50.50, 51.50, 50.50, 51.25, 367000
03/11/22, 52.00, 52.00, 51.00, 51.25, 102200
03/10/22, 51.50, 52.00, 51.00, 51.00, 2766000
03/09/22, 51.00, 51.50, 50.50, 50.75, 1417600
03/08/22, 50.75, 51.50, 49.60, 50.50, 986600
03/07/22, 51.00, 52.00, 49.75, 50.75, 424400
03/04/22, 52.00, 52.00, 50.75, 51.75, 311000
03/03/22, 52.00, 53.00, 50.25, 51.00, 1640800
03/02/22, 50.00, 51.75, 49.80, 50.25, 1027800
03/01/22, 50.00, 50.50, 49.55, 50.00, 1472900
02/28/22, 51.50, 52.00, 50.00, 50.00, 573700
02/25/22, 52.00, 52.00, 51.50, 51.75, 51300
02/24/22, 52.00, 52.00, 51.00, 51.50, 505900
02/23/22, 51.50, 53.00, 51.50, 52.00, 810200
02/22/22, 52.00, 52.75, 51.00, 52.00, 1534400
02/21/22, 53.00, 53.00, 52.25, 52.50, 11400
02/18/22, 53.25, 53.25, 52.00, 52.50, 997600
02/17/22, 53.25, 53.50, 52.50, 53.00, 1429200
02/16/22, 53.50, 53.50, 52.50, 53.25, 1033400
02/15/22, 53.00, 53.50, 53.00, 53.25, 1838000
02/14/22, 53.25, 53.50, 53.00, 53.50, 584000
02/11/22, 53.00, 54.00, 52.75, 53.25, 285200
02/10/22, 52.75, 53.00, 52.50, 53.00, 1886800
02/09/22, 53.00, 53.75, 52.00, 52.50, 6720900
02/08/22, 53.00, 53.00, 52.00, 52.75, 839500
02/07/22, 53.00, 53.00, 52.00, 53.00, 1636800
02/04/22, 53.00, 53.00, 52.25, 53.00, 2081800
02/03/22, 52.50, 53.25, 52.25, 53.00, 1652000
02/02/22, 52.75, 53.50, 52.00, 53.00, 2262500
02/01/22, 51.00, 53.00, 51.00, 52.75, 4721700
01/31/22, 50.50, 52.25, 50.00, 50.50, 1404800
01/28/22, 50.75, 50.75, 50.00, 50.25, 50100
01/27/22, 50.00, 50.75, 49.65, 50.25, 189300
01/26/22, 51.00, 51.00, 50.00, 50.00, 602300
01/25/22, 52.50, 52.50, 50.75, 51.75, 1223600
01/24/22, 51.50, 52.00, 51.25, 51.50, 5687400
01/21/22, 51.75, 51.75, 51.25, 51.50, 698800
01/20/22, 50.50, 51.50, 50.50, 51.25, 1546500
01/19/22, 50.00, 51.00, 50.00, 50.25, 349700
01/18/22, 51.00, 51.00, 49.50, 50.00, 1351300
01/17/22, 50.00, 50.00, 49.15, 49.50, 427300
01/14/22, 49.70, 50.00, 49.00, 49.50, 37100
01/13/22, 49.70, 50.75, 49.20, 49.55, 852300
01/12/22, 51.25, 51.25, 50.00, 50.25, 155000
01/11/22, 53.25, 53.25, 51.50, 52.00, 34700
01/10/22, 53.00, 53.00, 51.25, 52.75, 528700
01/07/22, 53.25, 53.25, 53.00, 53.00, 686300
01/06/22, 53.00, 53.25, 53.00, 53.00, 243200
01/05/22, 53.00, 53.25, 53.00, 53.00, 658900
01/04/22, 53.00, 53.50, 53.00, 53.25, 2160700
01/03/22, 52.00, 54.50, 51.00, 52.75, 4702000
12/31/21, 51.00, 54.00, 51.00, 52.75, 170900
12/30/21, 50.00, 51.25, 50.00, 51.00, 33600
12/29/21, 50.00, 50.00, 49.50, 50.00, 225600
